 / mo,/ mo
/ month,/ شهر
/ year,/ سنة
52+ modular ERPGenex applications. Pick only what you need.,52+ modular ERPGenex applications. Pick only what you need.
About,حول
Access URL,رابط الوصول
Account,حساب
Accounting,المحاسبة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Actions,إجراءات
Activation Key,Activation Key
Activation key copied.,Activation key copied.
Active,نشط
Active Subscription,نشط الاشتراك
Active Subscriptions,الاشتراكات النشطة
Active Tenants,المستأجرون النشطون
Activity Selection Wizard,النشاط اختيار معالج
Activity Selection Wizard Register,سجل النشاط اختيار معالج
Add Site,إضافة الموقع
Admin Password,كلمة مرور المسؤول
Admin Username,اسم مستخدم المسؤول
Administrator,المسؤول
Agriculture,الزراعة
AI,AI
AI & Intelligence,الذكاء الاصطناعي والتحليلات
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
All rights reserved.,All rights reserved.
Allocated Port,مخصص المنفذ
Allocated Port Register,سجل مخصص المنفذ
ALM,إدارة الأصول والخصوم
Amount,المبلغ
Amount Due,المبلغ المستحق
Analytics,التحليلات
Annual,سنوي
Annual Price,السعر السنوي
API,واجهة API
API Limit Per Day,API Limit Per Day
API Rate Limit Per Minute,API Rate Limit Per Minute
App Marketplace,تطبيق السوق
App Slug,App Slug
App Store,متجر التطبيقات
Application,تطبيق
Application installation started successfully.,Application installation started successfully.
Application Name,اسم تطبيق
Applications,التطبيقات
Applications Amount,التطبيقات المبلغ
Applications Marketplace,سوق التطبيقات
Applications — ERPGenex SaaS,Applications — ERPGenex Saa S
APPROVED,معتمد
Apps Ready,التطبيقات جاهزة
Archived,مؤرشف
Asset Insurance,تأمين الأصول
Assigned To,مُسند إلى
Assigned To Me,المُسند إليّ
Attachments,المرفقات
Audit,التدقيق
Auto Provisioning,آلي التجهيز
backup,نسخ احتياطي
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
Base Amount,المبلغ الأساسي
Base Plan,الخطة الأساسية
Base Port,المنفذ الأساسي
Base Price,السعر الأساسي
Billing,الفوترة
Billing & collections,الفوترة والتحصيل
Billing Cycle,دورة الفوترة
Bitbucket,Bitbucket
Bookings & registration,الحجوزات والتسجيل
BOQ,جدول الكميات
Branch,الفرع
Brand Name,اسم العلامة
Branding,Branding
"Browse the full catalog, compare subscription and source-code pricing, and activate apps for any customer account.",تصفح الفهرس الكامل، وقارن أسعار الاشتراك والمصدر، وفعّل التطبيقات لأي حساب عميل.
Budget & cost control,الميزانية وضبط التكلفة
Build Your Perfect ERP Stack,ابنِ مجموعة ERP المثالية
Built for enterprise scale,مُصمَّم لحجم المؤسسات
Business,أعمال
Buy,المشتريات
Buy Source,المشتريات المصدر
Buy Source Code,رمز المشتريات المصدر
Buy Source Code Available,المشتريات المصدر الرمز متاح
CAM & recoveries,المصاريف المشتركة والاستردادات
CAM Budget,ميزانية المصاريف المشتركة
Campaign ROI,عائد الحملة
Cancel,إلغاء
Cancelled,ملغى
Car Rental,تأجير السيارات
Card Break,قسم
Category,الفئة
Changelog,سجل التغييرات
Channel,قناة
Chart,مخطط
Chart of Accounts,دليل الحسابات
Checkout — ERPGenex SaaS,Checkout — ERPGenex Saa S
Choose Monthly or Annual billing,Choose Monthly or Annual billing
Choose your plan,Choose your plan
Close,إغلاق
Closed,مغلق
Commission Accrual,استحقاق العمولات
Commission Schedule,جدول العمولات
Community,مجتمعي
Company,الشركة
Company Email,الشركة البريد الإلكتروني
Completed,مكتمل
Compliance checks complete,اكتملت فحوصات الامتثال
Compliance Exceptions,استثناءات الامتثال
Compliance Exceptions (IFRS),استثناءات الامتثال (IFRS)
Compliance Exceptions (Tax),استثناءات الامتثال (ضريبي)
Compliance Exceptions Dashboard,لوحة استثناءات الامتثال
Compliance Reports,تقارير الامتثال
Construction,المقاولات
Construction & Engineering,المقاولات والهندسة
Consumer Finance,التمويل الاستهلاكي
Contact,جهة اتصال
